vgs,vds,irg,
6,9.50E+00,7.03E-03,
6,9.60E+00,7.09E-03,
6,9.70E+00,7.15E-03,
6,9.80E+00,7.21E-03,
6,9.90E+00,7.27E-03,
6,1.00E+01,7.33E-03,
6,1.01E+01,7.39E-03,
6,1.02E+01,7.45E-03,
6,1.03E+01,7.50E-03,
6,1.04E+01,7.56E-03,
6,1.05E+01,7.62E-03,
6,1.06E+01,7.67E-03,
6,1.07E+01,7.72E-03,
6,1.08E+01,7.78E-03,
6,1.09E+01,7.83E-03,
6,1.10E+01,7.88E-03,
6,1.11E+01,7.92E-03,
6,1.12E+01,7.97E-03,
6,1.13E+01,8.02E-03,
6,1.14E+01,8.06E-03,
6,1.15E+01,8.10E-03,
6,1.16E+01,8.14E-03,
6,1.17E+01,8.18E-03,
6,1.18E+01,8.22E-03,
6,1.19E+01,8.25E-03,
6,1.20E+01,8.27E-03,
6,1.21E+01,8.29E-03,
6,1.22E+01,8.31E-03,
6,1.23E+01,8.33E-03,
6,1.24E+01,8.34E-03,
6,1.25E+01,8.36E-03,
6,1.26E+01,8.37E-03,
6,1.27E+01,8.39E-03,
6,1.28E+01,8.40E-03,
6,1.29E+01,8.41E-03,
6,1.30E+01,8.43E-03,
6,1.31E+01,8.44E-03,
6,1.32E+01,8.45E-03,
6,1.33E+01,8.46E-03,
6,1.34E+01,8.47E-03,
6,1.35E+01,8.48E-03,
6,1.36E+01,8.50E-03,
6,1.37E+01,8.51E-03,
6,1.38E+01,8.52E-03,
6,1.39E+01,8.53E-03,
6,1.40E+01,8.54E-03,
6,1.41E+01,8.55E-03,
6,1.42E+01,8.56E-03,
6,1.43E+01,8.57E-03,
6,1.44E+01,8.58E-03,
6,1.45E+01,8.58E-03,
6,1.46E+01,8.59E-03,
6,1.47E+01,8.60E-03,
6,1.48E+01,8.61E-03,
6,1.49E+01,8.62E-03,
6,1.50E+01,8.63E-03,
