vbs,vgs,irg
-2,1.30E+00,2.03E-08
-2,1.31E+00,2.61E-08
-2,1.32E+00,3.36E-08
-2,1.33E+00,4.32E-08
-2,1.34E+00,5.57E-08
-2,1.35E+00,7.16E-08
-2,1.36E+00,9.21E-08
-2,1.37E+00,1.19E-07
-2,1.38E+00,1.53E-07
-2,1.39E+00,1.96E-07
-2,1.40E+00,2.53E-07
-2,1.41E+00,3.25E-07
-2,1.42E+00,4.18E-07
-2,1.43E+00,5.38E-07
-2,1.44E+00,6.92E-07
-2,1.45E+00,1.00E-06
-2,1.46E+00,1.49E-06
-2,1.47E+00,2.08E-06
-2,1.48E+00,2.76E-06
-2,1.49E+00,3.55E-06
-2,1.50E+00,4.42E-06
-2,1.51E+00,5.39E-06
-2,1.52E+00,6.46E-06
-2,1.53E+00,7.63E-06
-2,1.54E+00,8.88E-06
-2,1.55E+00,1.02E-05
-2,1.56E+00,1.17E-05
-2,1.57E+00,1.31E-05
-2,1.58E+00,1.46E-05
-2,1.59E+00,1.62E-05
-2,1.60E+00,1.79E-05
-2,1.61E+00,1.96E-05
-2,1.62E+00,2.14E-05
-2,1.63E+00,2.33E-05
-2,1.64E+00,2.53E-05
-2,1.65E+00,2.73E-05
-2,1.66E+00,2.95E-05
-2,1.67E+00,3.16E-05
-2,1.68E+00,3.39E-05
-2,1.69E+00,3.62E-05
-2,1.70E+00,3.86E-05
-2,1.71E+00,4.11E-05
-2,1.72E+00,4.36E-05
-2,1.73E+00,4.63E-05
-2,1.74E+00,4.89E-05
-2,1.75E+00,5.17E-05
-2,1.76E+00,5.45E-05
-2,1.77E+00,5.74E-05
-2,1.78E+00,6.04E-05
-2,1.79E+00,6.34E-05
-2,1.80E+00,6.65E-05
-2,1.81E+00,6.97E-05
-2,1.82E+00,7.29E-05
-2,1.83E+00,7.62E-05
-2,1.84E+00,7.96E-05
-2,1.85E+00,8.30E-05
-2,1.86E+00,8.65E-05
-2,1.87E+00,9.01E-05
-2,1.88E+00,9.37E-05
-2,1.89E+00,9.74E-05
-2,1.90E+00,1.01E-04
-2,1.91E+00,1.05E-04
-2,1.92E+00,1.09E-04
-2,1.93E+00,1.13E-04
-2,1.94E+00,1.17E-04
-2,1.95E+00,1.21E-04
-2,1.96E+00,1.25E-04
-2,1.97E+00,1.29E-04
-2,1.98E+00,1.34E-04
-2,1.99E+00,1.38E-04
-2,2.00E+00,1.42E-04
-4,0.00E+00,4.03E-12
-4,1.00E-02,4.05E-12
-4,2.00E-02,4.07E-12
-4,3.00E-02,4.09E-12
-4,4.00E-02,4.11E-12
-4,5.00E-02,4.13E-12
-4,6.00E-02,4.15E-12
-4,7.00E-02,4.17E-12
-4,8.00E-02,4.19E-12
-4,9.00E-02,4.21E-12
-4,1.00E-01,4.23E-12
-4,1.10E-01,4.25E-12
-4,1.20E-01,4.27E-12
-4,1.30E-01,4.29E-12
-4,1.40E-01,4.31E-12
-4,1.50E-01,4.33E-12
-4,1.60E-01,4.35E-12
-4,1.70E-01,4.37E-12
-4,1.80E-01,4.39E-12
-4,1.90E-01,4.41E-12
-4,2.00E-01,4.43E-12
-4,2.10E-01,4.45E-12
-4,2.20E-01,4.47E-12
-4,2.30E-01,4.49E-12
-4,2.40E-01,4.51E-12
-4,2.50E-01,4.53E-12
-4,2.60E-01,4.55E-12
-4,2.70E-01,4.57E-12
-4,2.80E-01,4.59E-12
-4,2.90E-01,4.61E-12
-4,3.00E-01,4.63E-12
-4,3.10E-01,4.65E-12
-4,3.20E-01,4.67E-12
-4,3.30E-01,4.69E-12
-4,3.40E-01,4.71E-12
-4,3.50E-01,4.73E-12
-4,3.60E-01,4.75E-12
-4,3.70E-01,4.77E-12
-4,3.80E-01,4.79E-12
-4,3.90E-01,4.81E-12
-4,4.00E-01,4.83E-12
-4,4.10E-01,4.85E-12
-4,4.20E-01,4.87E-12
-4,4.30E-01,4.89E-12
-4,4.40E-01,4.91E-12
-4,4.50E-01,4.93E-12
-4,4.60E-01,4.95E-12
-4,4.70E-01,4.97E-12
-4,4.80E-01,4.99E-12
-4,4.90E-01,5.01E-12
-4,5.00E-01,5.03E-12
-4,5.10E-01,5.05E-12
-4,5.20E-01,5.07E-12
-4,5.30E-01,5.09E-12
-4,5.40E-01,5.11E-12
-4,5.50E-01,5.13E-12
-4,5.60E-01,5.15E-12
-4,5.70E-01,5.17E-12
-4,5.80E-01,5.19E-12
-4,5.90E-01,5.21E-12
-4,6.00E-01,5.23E-12
-4,6.10E-01,5.25E-12
-4,6.20E-01,5.27E-12
-4,6.30E-01,5.29E-12
-4,6.40E-01,5.31E-12
-4,6.50E-01,5.33E-12
-4,6.60E-01,5.35E-12
-4,6.70E-01,5.37E-12
-4,6.80E-01,5.39E-12
-4,6.90E-01,5.41E-12
-4,7.00E-01,5.43E-12
-4,7.10E-01,5.45E-12
-4,7.20E-01,5.47E-12
-4,7.30E-01,5.49E-12
-4,7.40E-01,5.51E-12
-4,7.50E-01,5.53E-12
-4,7.60E-01,5.55E-12
-4,7.70E-01,5.57E-12
-4,7.80E-01,5.59E-12
-4,7.90E-01,5.61E-12
-4,8.00E-01,5.63E-12
-4,8.10E-01,5.65E-12
-4,8.20E-01,5.67E-12
-4,8.30E-01,5.69E-12
-4,8.40E-01,5.71E-12
-4,8.50E-01,5.73E-12
-4,8.60E-01,5.75E-12
-4,8.70E-01,5.77E-12
-4,8.80E-01,5.79E-12
-4,8.90E-01,5.81E-12
-4,9.00E-01,5.83E-12
-4,9.10E-01,5.85E-12
-4,9.20E-01,5.87E-12
-4,9.30E-01,5.89E-12
-4,9.40E-01,5.91E-12
-4,9.50E-01,5.93E-12
-4,9.60E-01,5.95E-12
-4,9.70E-01,5.97E-12
-4,9.80E-01,5.99E-12
-4,9.90E-01,6.01E-12
-4,1.00E+00,6.03E-12
-4,1.01E+00,6.05E-12
-4,1.02E+00,6.07E-12
-4,1.03E+00,6.09E-12
-4,1.04E+00,6.11E-12
-4,1.05E+00,6.13E-12
-4,1.06E+00,6.15E-12
-4,1.07E+00,6.17E-12
-4,1.08E+00,6.19E-12
-4,1.09E+00,6.21E-12
-4,1.10E+00,6.23E-12
-4,1.11E+00,6.25E-12
-4,1.12E+00,6.27E-12
-4,1.13E+00,6.29E-12
-4,1.14E+00,6.32E-12
-4,1.15E+00,6.34E-12
-4,1.16E+00,6.36E-12
-4,1.17E+00,6.38E-12
-4,1.18E+00,6.40E-12
-4,1.19E+00,6.42E-12
-4,1.20E+00,6.45E-12
-4,1.21E+00,6.47E-12
-4,1.22E+00,6.50E-12
-4,1.23E+00,6.52E-12
-4,1.24E+00,6.55E-12
-4,1.25E+00,6.59E-12
-4,1.26E+00,6.62E-12
