vbs,vgs,irg,sqrt(irg)
-2,3.30E-01,2.69E-12,0.000001640792187
-2,3.40E-01,2.71E-12,0.000001646875527
-2,3.50E-01,2.73E-12,0.00000165293678
-2,3.60E-01,2.75E-12,0.000001658975588
-2,3.70E-01,2.77E-12,0.000001664992492
-2,3.80E-01,2.79E-12,0.000001670987732
-2,3.90E-01,2.81E-12,0.000001676961836
-2,4.00E-01,2.83E-12,0.000001682914436
-2,4.10E-01,2.85E-12,0.000001688846056
-2,4.20E-01,2.87E-12,0.000001694756915
-2,4.30E-01,2.89E-12,0.000001700654286
-2,4.40E-01,2.91E-12,0.000001706524831
-2,4.50E-01,2.93E-12,0.000001712375543
-2,4.60E-01,2.95E-12,0.00000171820575
-2,4.70E-01,2.97E-12,0.000001724016241
-2,4.80E-01,2.99E-12,0.000001729807504
-2,4.90E-01,3.01E-12,0.00000173557973
-2,5.00E-01,3.03E-12,0.00000174133311
-2,5.10E-01,3.05E-12,0.000001747067829
-2,5.20E-01,3.07E-12,0.000001752791488
-2,5.30E-01,3.09E-12,0.000001758489409
-2,5.40E-01,3.11E-12,0.000001764168643
-2,5.50E-01,3.13E-12,0.000001769839541
-2,5.60E-01,3.15E-12,0.000001775493171
-2,5.70E-01,3.17E-12,0.000001781129698
-2,5.80E-01,3.19E-12,0.000001786749843
-2,5.90E-01,3.21E-12,0.000001792353202
-2,6.00E-01,3.23E-12,0.000001797959399
-2,6.10E-01,3.25E-12,0.00000180354207
-2,6.20E-01,3.27E-12,0.000001809119399
-2,6.30E-01,3.29E-12,0.000001814701628
-2,6.40E-01,3.31E-12,0.000001820271683
-2,6.50E-01,3.33E-12,0.000001825849939
-2,6.60E-01,3.35E-12,0.000001831438233
-2,6.70E-01,3.37E-12,0.000001837047087
-2,6.80E-01,3.40E-12,0.000001842679842
-2,6.90E-01,3.42E-12,0.000001848349805
-2,7.00E-01,3.44E-12,0.000001854080095
-2,7.10E-01,3.46E-12,0.000001859875533
-2,7.20E-01,3.48E-12,0.000001865781606
-2,7.30E-01,3.50E-12,0.000001871815963
-2,7.40E-01,3.53E-12,0.000001878040202
-2,7.50E-01,3.55E-12,0.000001884483218
-2,7.60E-01,3.58E-12,0.000001891232931
-2,7.70E-01,3.60E-12,0.000001898366403
-2,7.80E-01,3.63E-12,0.000001905998951
-2,7.90E-01,3.66E-12,0.000001914293603
-2,8.00E-01,3.70E-12,0.00000192342663
-2,8.10E-01,3.74E-12,0.000001933623024
-2,8.20E-01,3.78E-12,0.000001945193821
-2,8.30E-01,3.84E-12,0.000001958526998
-2,8.40E-01,3.90E-12,0.000001974095489
-2,8.50E-01,3.97E-12,0.000001992523024
-2,8.60E-01,4.06E-12,0.000002014559257
-2,8.70E-01,4.17E-12,0.000002041180786
-2,8.80E-01,4.30E-12,0.000002073540209
-2,8.90E-01,4.47E-12,0.000002113116892
-2,9.00E-01,4.67E-12,0.000002161654228
-2,9.10E-01,4.93E-12,0.000002221280937
-2,9.20E-01,5.26E-12,0.000002294501035
-2,9.30E-01,5.68E-12,0.000002384217482
-2,9.40E-01,6.22E-12,0.000002493810137
-2,9.50E-01,6.90E-12,0.000002627039398
-2,9.60E-01,7.77E-12,0.000002788136295
-2,9.70E-01,8.89E-12,0.000002981731879
-2,9.80E-01,1.03E-11,0.000003212880328
