vsg,vsd,irg
6,1.50E+00,7.25E-04
6,1.60E+00,7.70E-04
6,1.70E+00,8.16E-04
6,1.80E+00,8.61E-04
6,1.90E+00,9.06E-04
6,2.00E+00,9.50E-04
6,2.10E+00,9.94E-04
6,2.20E+00,1.04E-03
6,2.30E+00,1.08E-03
6,2.40E+00,1.12E-03
6,2.50E+00,1.17E-03
6,2.60E+00,1.21E-03
6,2.70E+00,1.25E-03
6,2.80E+00,1.29E-03
6,2.90E+00,1.33E-03
6,3.00E+00,1.37E-03
6,3.10E+00,1.41E-03
6,3.20E+00,1.45E-03
6,3.30E+00,1.49E-03
6,3.40E+00,1.53E-03
6,3.50E+00,1.57E-03
6,3.60E+00,1.60E-03
6,3.70E+00,1.64E-03
6,3.80E+00,1.68E-03
6,3.90E+00,1.71E-03
6,4.00E+00,1.75E-03
6,4.10E+00,1.78E-03
6,4.20E+00,1.81E-03
6,4.30E+00,1.85E-03
6,4.40E+00,1.88E-03
6,4.50E+00,1.91E-03
6,4.60E+00,1.94E-03
6,4.70E+00,1.97E-03
6,4.80E+00,2.00E-03
6,4.90E+00,2.03E-03
6,5.00E+00,2.06E-03
6,5.10E+00,2.08E-03
6,5.20E+00,2.11E-03
6,5.30E+00,2.14E-03
6,5.40E+00,2.16E-03
6,5.50E+00,2.18E-03
6,5.60E+00,2.21E-03
6,5.70E+00,2.23E-03
6,5.80E+00,2.25E-03
6,5.90E+00,2.27E-03
6,6.00E+00,2.28E-03
6,6.10E+00,2.30E-03
6,6.20E+00,2.32E-03
6,6.30E+00,2.33E-03
6,6.40E+00,2.34E-03
6,6.50E+00,2.35E-03
6,6.60E+00,2.36E-03
6,6.70E+00,2.37E-03
6,6.80E+00,2.38E-03
6,6.90E+00,2.38E-03
6,7.00E+00,2.38E-03
6,7.10E+00,2.38E-03
6,7.20E+00,2.38E-03
6,7.30E+00,2.39E-03
6,7.40E+00,2.39E-03
6,7.50E+00,2.39E-03
6,7.60E+00,2.39E-03
6,7.70E+00,2.40E-03
6,7.80E+00,2.40E-03
6,7.90E+00,2.40E-03
6,8.00E+00,2.40E-03
6,8.10E+00,2.40E-03
6,8.20E+00,2.41E-03
6,8.30E+00,2.41E-03
6,8.40E+00,2.41E-03
6,8.50E+00,2.41E-03
6,8.60E+00,2.42E-03
6,8.70E+00,2.42E-03
6,8.80E+00,2.42E-03
6,8.90E+00,2.42E-03
6,9.00E+00,2.42E-03
6,9.10E+00,2.43E-03
6,9.20E+00,2.43E-03
6,9.30E+00,2.43E-03
6,9.40E+00,2.43E-03
6,9.50E+00,2.43E-03
6,9.60E+00,2.44E-03
6,9.70E+00,2.44E-03
6,9.80E+00,2.44E-03
6,9.90E+00,2.44E-03
6,1.00E+01,2.44E-03
6,1.01E+01,2.45E-03
6,1.02E+01,2.45E-03
6,1.03E+01,2.45E-03
6,1.04E+01,2.45E-03
6,1.05E+01,2.45E-03
6,1.06E+01,2.46E-03
6,1.07E+01,2.46E-03
6,1.08E+01,2.46E-03
6,1.09E+01,2.46E-03
6,1.10E+01,2.46E-03
6,1.11E+01,2.47E-03
6,1.12E+01,2.47E-03
6,1.13E+01,2.47E-03
6,1.14E+01,2.47E-03
6,1.15E+01,2.47E-03
6,1.16E+01,2.48E-03
6,1.17E+01,2.48E-03
6,1.18E+01,2.48E-03
6,1.19E+01,2.48E-03
6,1.20E+01,2.48E-03
6,1.21E+01,2.49E-03
6,1.22E+01,2.49E-03
6,1.23E+01,2.49E-03
6,1.24E+01,2.49E-03
6,1.25E+01,2.49E-03
6,1.26E+01,2.50E-03
6,1.27E+01,2.50E-03
6,1.28E+01,2.50E-03
6,1.29E+01,2.50E-03
6,1.30E+01,2.50E-03
6,1.31E+01,2.51E-03
6,1.32E+01,2.51E-03
6,1.33E+01,2.51E-03
6,1.34E+01,2.51E-03
6,1.35E+01,2.51E-03
6,1.36E+01,2.52E-03
6,1.37E+01,2.52E-03
6,1.38E+01,2.52E-03
6,1.39E+01,2.52E-03
6,1.40E+01,2.52E-03
6,1.41E+01,2.53E-03
6,1.42E+01,2.53E-03
6,1.43E+01,2.53E-03
6,1.44E+01,2.53E-03
6,1.45E+01,2.53E-03
6,1.46E+01,2.53E-03
6,1.47E+01,2.54E-03
6,1.48E+01,2.54E-03
6,1.49E+01,2.54E-03
6,1.50E+01,2.54E-03
