vbs,vsg,irg
4,6.40E-01,5.31E-12
4,6.50E-01,5.33E-12
4,6.60E-01,5.35E-12
4,6.70E-01,5.37E-12
4,6.80E-01,5.39E-12
4,6.90E-01,5.41E-12
4,7.00E-01,5.43E-12
4,7.10E-01,5.45E-12
4,7.20E-01,5.47E-12
4,7.30E-01,5.49E-12
4,7.40E-01,5.51E-12
4,7.50E-01,5.53E-12
4,7.60E-01,5.55E-12
4,7.70E-01,5.58E-12
4,7.80E-01,5.60E-12
4,7.90E-01,5.62E-12
4,8.00E-01,5.64E-12
4,8.10E-01,5.66E-12
4,8.20E-01,5.69E-12
4,8.30E-01,5.71E-12
4,8.40E-01,5.74E-12
4,8.50E-01,5.76E-12
4,8.60E-01,5.79E-12
4,8.70E-01,5.83E-12
4,8.80E-01,5.87E-12
4,8.90E-01,5.91E-12
4,9.00E-01,5.96E-12
4,9.10E-01,6.02E-12
4,9.20E-01,6.10E-12
4,9.30E-01,6.20E-12
4,9.40E-01,6.32E-12
4,9.50E-01,6.47E-12
4,9.60E-01,6.66E-12
4,9.70E-01,6.91E-12
4,9.80E-01,7.24E-12
4,9.90E-01,7.67E-12
4,1.00E+00,8.23E-12
4,1.01E+00,8.96E-12
4,1.02E+00,9.93E-12
4,1.03E+00,1.12E-11
4,1.04E+00,1.29E-11
4,1.05E+00,1.51E-11
4,1.06E+00,1.81E-11
4,1.07E+00,2.20E-11
4,1.08E+00,2.72E-11
4,1.09E+00,3.41E-11
4,1.10E+00,4.32E-11
4,1.11E+00,5.53E-11
4,1.12E+00,7.13E-11
4,1.13E+00,9.26E-11
4,1.14E+00,1.21E-10
4,1.15E+00,1.58E-10
4,1.16E+00,2.08E-10
4,1.17E+00,2.73E-10
4,1.18E+00,3.61E-10
4,1.19E+00,4.76E-10
4,1.20E+00,6.29E-10
4,1.21E+00,8.33E-10
4,1.22E+00,1.10E-09
4,1.23E+00,1.46E-09
4,1.24E+00,1.93E-09
4,1.25E+00,2.56E-09
4,1.26E+00,3.40E-09
4,1.27E+00,4.50E-09
4,1.28E+00,5.97E-09
4,1.29E+00,7.92E-09
4,1.30E+00,1.05E-08
4,1.31E+00,1.39E-08
4,1.32E+00,1.85E-08
4,1.33E+00,2.45E-08
4,1.34E+00,3.25E-08
4,1.35E+00,4.31E-08
4,1.36E+00,5.71E-08
4,1.37E+00,7.57E-08
4,1.38E+00,1.00E-07
4,1.39E+00,1.33E-07
4,1.40E+00,1.77E-07
4,1.41E+00,2.48E-07
4,1.42E+00,3.97E-07
4,1.43E+00,5.81E-07
4,1.44E+00,7.99E-07
4,1.45E+00,1.05E-06
4,1.46E+00,1.34E-06
4,1.47E+00,1.66E-06
4,1.48E+00,2.02E-06
4,1.49E+00,2.41E-06
4,1.50E+00,2.83E-06
4,1.51E+00,3.29E-06
4,1.52E+00,3.78E-06
4,1.53E+00,4.31E-06
4,1.54E+00,4.87E-06
4,1.55E+00,5.46E-06
4,1.56E+00,6.09E-06
4,1.57E+00,6.75E-06
4,1.58E+00,7.40E-06
4,1.59E+00,8.05E-06
4,1.60E+00,8.73E-06
4,1.61E+00,9.43E-06
4,1.62E+00,1.02E-05
4,1.63E+00,1.09E-05
4,1.64E+00,1.17E-05
4,1.65E+00,1.25E-05
4,1.66E+00,1.33E-05
4,1.67E+00,1.41E-05
4,1.68E+00,1.50E-05
4,1.69E+00,1.59E-05
4,1.70E+00,1.68E-05
4,1.71E+00,1.78E-05
4,1.72E+00,1.87E-05
4,1.73E+00,1.97E-05
4,1.74E+00,2.07E-05
4,1.75E+00,2.17E-05
4,1.76E+00,2.28E-05
4,1.77E+00,2.38E-05
4,1.78E+00,2.49E-05
4,1.79E+00,2.61E-05
4,1.80E+00,2.72E-05
4,1.81E+00,2.84E-05
4,1.82E+00,2.95E-05
4,1.83E+00,3.07E-05
4,1.84E+00,3.20E-05
4,1.85E+00,3.32E-05
4,1.86E+00,3.45E-05
4,1.87E+00,3.58E-05
4,1.88E+00,3.71E-05
4,1.89E+00,3.84E-05
4,1.90E+00,3.97E-05
4,1.91E+00,4.11E-05
4,1.92E+00,4.25E-05
4,1.93E+00,4.39E-05
4,1.94E+00,4.53E-05
4,1.95E+00,4.68E-05
4,1.96E+00,4.83E-05
4,1.97E+00,4.98E-05
4,1.98E+00,5.13E-05
4,1.99E+00,5.28E-05
4,2.00E+00,5.44E-05
