vbs,vsg,irg,sqrt(irg)
-2,7.00E-02,2.17E-12,0.000001473838526
-2,8.00E-02,2.19E-12,0.000001480607983
-2,9.00E-02,2.21E-12,0.000001487346631
-2,1.00E-01,2.23E-12,0.000001494054885
-2,1.10E-01,2.25E-12,0.000001500733154
-2,1.20E-01,2.27E-12,0.000001507381836
-2,1.30E-01,2.29E-12,0.000001514001321
-2,1.40E-01,2.31E-12,0.00000152059199
-2,1.50E-01,2.33E-12,0.000001527154216
-2,1.60E-01,2.35E-12,0.000001533688365
-2,1.70E-01,2.37E-12,0.000001540194793
-2,1.80E-01,2.39E-12,0.000001546673851
-2,1.90E-01,2.41E-12,0.00000155312588
-2,2.00E-01,2.43E-12,0.000001559551217
-2,2.10E-01,2.45E-12,0.000001565950191
-2,2.20E-01,2.47E-12,0.000001572323122
-2,2.30E-01,2.49E-12,0.000001578670643
-2,2.40E-01,2.51E-12,0.000001584992744
-2,2.50E-01,2.53E-12,0.000001591289728
-2,2.60E-01,2.55E-12,0.000001597562205
-2,2.70E-01,2.57E-12,0.000001603810151
-2,2.80E-01,2.59E-12,0.000001610033851
-2,2.90E-01,2.61E-12,0.000001616233275
-2,3.00E-01,2.63E-12,0.000001622409319
-2,3.10E-01,2.65E-12,0.000001628562556
-2,3.20E-01,2.67E-12,0.000001634693549
-2,3.30E-01,2.69E-12,0.000001640801329
-2,3.40E-01,2.71E-12,0.000001646887671
-2,3.50E-01,2.73E-12,0.00000165295251
-2,3.60E-01,2.75E-12,0.000001658996082
-2,3.70E-01,2.77E-12,0.00000166501982
-2,3.80E-01,2.79E-12,0.000001671023339
-2,3.90E-01,2.81E-12,0.000001677008646
-2,4.00E-01,2.83E-12,0.000001682975639
-2,4.10E-01,2.85E-12,0.00000168892599
-2,4.20E-01,2.87E-12,0.000001694861646
-2,4.30E-01,2.89E-12,0.000001700784819
-2,4.40E-01,2.91E-12,0.000001706698274
-2,4.50E-01,2.93E-12,0.000001712604157
-2,4.60E-01,2.95E-12,0.000001718508656
-2,4.70E-01,2.97E-12,0.000001724416133
-2,4.80E-01,2.99E-12,0.000001730333494
-2,4.90E-01,3.01E-12,0.00000173627158
-2,5.00E-01,3.04E-12,0.00000174224252
-2,5.10E-01,3.06E-12,0.000001748263138
-2,5.20E-01,3.08E-12,0.000001754353442
-2,5.30E-01,3.10E-12,0.000001760543382
-2,5.40E-01,3.12E-12,0.000001766867001
-2,5.50E-01,3.14E-12,0.000001773374749
-2,5.60E-01,3.17E-12,0.000001780126962
-2,5.70E-01,3.19E-12,0.000001787207878
-2,5.80E-01,3.22E-12,0.00000179472282
-2,5.90E-01,3.25E-12,0.000001802811138
-2,6.00E-01,3.28E-12,0.000001811657252
-2,6.10E-01,3.32E-12,0.000001821499108
-2,6.20E-01,3.36E-12,0.000001832643992
-2,6.30E-01,3.41E-12,0.000001845495326
-2,6.40E-01,3.46E-12,0.000001860573299
-2,6.50E-01,3.53E-12,0.000001878546779
-2,6.60E-01,3.61E-12,0.000001900273401
-2,6.70E-01,3.71E-12,0.000001926847685
-2,6.80E-01,3.84E-12,0.000001959651755
-2,6.90E-01,4.00E-12,0.000002000414457
-2,7.00E-01,4.21E-12,0.000002051271801
-2,7.10E-01,4.47E-12,0.000002114829544
-2,7.20E-01,4.81E-12,0.000002194207146
-2,7.30E-01,5.26E-12,0.000002293083514
-2,7.40E-01,5.84E-12,0.00000241570735
-2,7.50E-01,6.59E-12,0.000002566899881
-2,7.60E-01,7.57E-12,0.000002752045603
-2,7.70E-01,8.86E-12,0.000002977082632
-2,7.80E-01,1.06E-11,0.000003248518124
-2,7.90E-01,1.28E-11,0.000003573473101
-2,8.00E-01,1.57E-11,0.000003959780297
-2,8.10E-01,1.95E-11,0.000004416118205
-2,8.20E-01,2.45E-11,0.000004952199511
-2,8.30E-01,3.11E-11,0.000005578982882
-2,8.40E-01,3.98E-11,0.000006308927009
-2,8.50E-01,5.12E-11,0.000007156266485
-2,8.60E-01,6.62E-11,0.000008137320198
-2,8.70E-01,8.59E-11,0.000009270824667
-2,8.80E-01,1.12E-10,0.00001057832217
-2,8.90E-01,1.46E-10,0.00001208457281
-2,9.00E-01,1.91E-10,0.00001381804617
-2,9.10E-01,2.50E-10,0.0000158114642
-2,9.20E-01,3.28E-10,0.00001810242525
-2,9.30E-01,4.30E-10,0.00002073410958
-2,9.40E-01,5.64E-10,0.00002375610869
-2,9.50E-01,7.41E-10,0.00002722535032
-2,9.60E-01,9.74E-10,0.00003120718187
-2,9.70E-01,1.28E-09,0.00003577658452
-2,9.80E-01,1.68E-09,0.00004101961726
-2,9.90E-01,2.21E-09,0.00004703500824
-2,1.00E+00,2.91E-09,0.00005393598984
-2,1.01E+00,3.83E-09,0.00006185250197
-2,1.02E+00,5.03E-09,0.00007093356046
-2,1.03E+00,6.62E-09,0.00008135010756
-2,1.04E+00,8.70E-09,0.00009329818326
-2,1.05E+00,1.14E-08,0.0001070026168
-2,1.06E+00,1.51E-08,0.0001227212696
-2,1.07E+00,1.98E-08,0.0001407498135
-2,1.08E+00,2.61E-08,0.0001614272282
-2,1.09E+00,3.43E-08,0.0001851422156
-2,1.10E+00,4.51E-08,0.00021234034
-2,1.11E+00,5.93E-08,0.0002435322155
-2,1.12E+00,7.80E-08,0.0002793030075
-2,1.13E+00,1.03E-07,0.000320322962
-2,1.14E+00,1.35E-07,0.000367359497
-2,1.15E+00,1.77E-07,0.0004212911108
-2,1.16E+00,2.43E-07,0.0004928118302
-2,1.17E+00,3.87E-07,0.0006221481335
-2,1.18E+00,5.65E-07,0.000751408544
-2,1.19E+00,7.75E-07,0.0008805928685
-2,1.20E+00,1.02E-06,0.001009700946
-2,1.21E+00,1.30E-06,0.001138733507
-2,1.22E+00,1.61E-06,0.001267690025
-2,1.23E+00,1.95E-06,0.001396571158
-2,1.24E+00,2.33E-06,0.001525376347
-2,1.25E+00,2.74E-06,0.001654106103
-2,1.26E+00,3.18E-06,0.0017827605
-2,1.27E+00,3.65E-06,0.001911339583
-2,1.28E+00,4.16E-06,0.002039843376
-2,1.29E+00,4.70E-06,0.002168272123
-2,1.30E+00,5.27E-06,0.002296626004
-2,1.31E+00,5.88E-06,0.002424904947
-2,1.32E+00,6.52E-06,0.002553109281
-2,1.33E+00,7.15E-06,0.002673647135
-2,1.34E+00,7.78E-06,0.002788736273
-2,1.35E+00,8.43E-06,0.002903383371
-2,1.36E+00,9.11E-06,0.003017606005
-2,1.37E+00,9.81E-06,0.003131419486
-2,1.38E+00,1.05E-05,0.003244838979
-2,1.39E+00,1.13E-05,0.003357877306
-2,1.40E+00,1.20E-05,0.003470550389
-2,1.41E+00,1.28E-05,0.003582866171
-2,1.42E+00,1.37E-05,0.003694839645
-2,1.43E+00,1.45E-05,0.003806480001
-2,1.44E+00,1.53E-05,0.003917797851
-2,1.45E+00,1.62E-05,0.004028801311
-2,1.46E+00,1.71E-05,0.004139501178
-2,1.47E+00,1.81E-05,0.004249904705
-2,1.48E+00,1.90E-05,0.004360020642
-2,1.49E+00,2.00E-05,0.004469855702
-2,1.50E+00,2.10E-05,0.004579418085
-2,1.51E+00,2.20E-05,0.004688714109
-2,1.52E+00,2.30E-05,0.004797750515
-2,1.53E+00,2.41E-05,0.00490653238
-2,1.54E+00,2.52E-05,0.005015067298
-2,1.55E+00,2.62E-05,0.00512335925
-2,1.56E+00,2.74E-05,0.005231414723
-2,1.57E+00,2.85E-05,0.00533923871
-2,1.58E+00,2.97E-05,0.005446835779
-2,1.59E+00,3.08E-05,0.005554211015
-2,1.60E+00,3.21E-05,0.005661367326
-2,1.61E+00,3.33E-05,0.005768311711
-2,1.62E+00,3.45E-05,0.005875045532
-2,1.63E+00,3.58E-05,0.005981575043
-2,1.64E+00,3.71E-05,0.006087902759
-2,1.65E+00,3.84E-05,0.006194032612
-2,1.66E+00,3.97E-05,0.006299968254
-2,1.67E+00,4.10E-05,0.006405712295
-2,1.68E+00,4.24E-05,0.006511269461
-2,1.69E+00,4.38E-05,0.006616641898
-2,1.70E+00,4.52E-05,0.006721833083
-2,1.71E+00,4.66E-05,0.006826845538
-2,1.72E+00,4.80E-05,0.006931682335
-2,1.73E+00,4.95E-05,0.007036346353
-2,1.74E+00,5.10E-05,0.007140839586
-2,1.75E+00,5.25E-05,0.007245165975
-2,1.76E+00,5.40E-05,0.0073493265
-2,1.77E+00,5.56E-05,0.007453324091
-2,1.78E+00,5.71E-05,0.007557161504
-2,1.79E+00,5.87E-05,0.007660841338
-2,1.80E+00,6.03E-05,0.007764364108
-2,1.81E+00,6.19E-05,0.007867734108
-2,1.82E+00,6.35E-05,0.007970951637
-2,1.83E+00,6.52E-05,0.008074019445
-2,1.84E+00,6.69E-05,0.008176940137
-2,1.85E+00,6.86E-05,0.008279714367
-2,1.86E+00,7.03E-05,0.008382344541
-2,1.87E+00,7.20E-05,0.00848483235
-2,1.88E+00,7.37E-05,0.008587179397
-2,1.89E+00,7.55E-05,0.008689388356
-2,1.90E+00,7.73E-05,0.008791460061
-2,1.91E+00,7.91E-05,0.008893395864
-2,1.92E+00,8.09E-05,0.008995198163
-2,1.93E+00,8.28E-05,0.009096867593
-2,1.94E+00,8.46E-05,0.009198406927
-2,1.95E+00,8.65E-05,0.00929981559
-2,1.96E+00,8.84E-05,0.009401097276
-2,1.97E+00,9.03E-05,0.009502251838
-2,1.98E+00,9.22E-05,0.009603281731
-2,1.99E+00,9.42E-05,0.009704187241
-2,2.00E+00,9.61E-05,0.009804970168
-4,0.00E+00,4.03E-12,0.000002008033864
-4,1.00E-02,4.05E-12,0.0000020130077
-4,2.00E-02,4.07E-12,0.000002017969276
-4,3.00E-02,4.09E-12,0.000002022918683
-4,4.00E-02,4.11E-12,0.000002027856011
-4,5.00E-02,4.13E-12,0.000002032781346
-4,6.00E-02,4.15E-12,0.000002037694776
-4,7.00E-02,4.17E-12,0.000002042596387
-4,8.00E-02,4.19E-12,0.000002047486264
-4,9.00E-02,4.21E-12,0.00000205236449
-4,1.00E-01,4.23E-12,0.000002057231149
-4,1.10E-01,4.25E-12,0.000002062086322
-4,1.20E-01,4.27E-12,0.000002066930091
-4,1.30E-01,4.29E-12,0.000002071762535
-4,1.40E-01,4.31E-12,0.000002076583733
-4,1.50E-01,4.33E-12,0.000002081393764
-4,1.60E-01,4.35E-12,0.000002086192704
-4,1.70E-01,4.37E-12,0.000002090980392
-4,1.80E-01,4.39E-12,0.00000209575762
-4,1.90E-01,4.41E-12,0.000002100523506
-4,2.00E-01,4.43E-12,0.000002105278841
-4,2.10E-01,4.45E-12,0.00000211002346
-4,2.20E-01,4.47E-12,0.000002114757669
-4,2.30E-01,4.49E-12,0.000002119480833
-4,2.40E-01,4.51E-12,0.000002124193965
-4,2.50E-01,4.53E-12,0.000002128896193
-4,2.60E-01,4.55E-12,0.000002133588292
-4,2.70E-01,4.57E-12,0.000002138270095
-4,2.80E-01,4.59E-12,0.00000214294167
-4,2.90E-01,4.61E-12,0.000002147603315
-4,3.00E-01,4.63E-12,0.000002152254399
-4,3.10E-01,4.65E-12,0.000002156895686
-4,3.20E-01,4.67E-12,0.000002161527007
-4,3.30E-01,4.69E-12,0.000002166148425
-4,3.40E-01,4.71E-12,0.000002170760005
-4,3.50E-01,4.73E-12,0.000002175361809
-4,3.60E-01,4.75E-12,0.000002179953899
-4,3.70E-01,4.77E-12,0.000002184536335
-4,3.80E-01,4.79E-12,0.00000218910918
-4,3.90E-01,4.81E-12,0.000002193672264
-4,4.00E-01,4.83E-12,0.000002198226103
-4,4.10E-01,4.85E-12,0.000002202770755
-4,4.20E-01,4.87E-12,0.000002207305824
-4,4.30E-01,4.89E-12,0.000002211831594
-4,4.40E-01,4.91E-12,0.000002216348348
-4,4.50E-01,4.93E-12,0.000002220855466
-4,4.60E-01,4.95E-12,0.00000222535368
-4,4.70E-01,4.97E-12,0.00000222984282
-4,4.80E-01,4.99E-12,0.000002234322716
-4,4.90E-01,5.01E-12,0.000002238794095
-4,5.00E-01,5.03E-12,0.000002243256338
-4,5.10E-01,5.05E-12,0.000002247710168
-4,5.20E-01,5.07E-12,0.000002252154524
-4,5.30E-01,5.09E-12,0.000002256590791
-4,5.40E-01,5.11E-12,0.000002261018576
-4,5.50E-01,5.13E-12,0.000002265437265
-4,5.60E-01,5.15E-12,0.000002269847792
-4,5.70E-01,5.17E-12,0.000002274249327
-4,5.80E-01,5.19E-12,0.000002278642798
-4,5.90E-01,5.21E-12,0.000002283028909
-4,6.00E-01,5.23E-12,0.000002287406173
-4,6.10E-01,5.25E-12,0.000002291775949
-4,6.20E-01,5.27E-12,0.000002296136973
-4,6.30E-01,5.29E-12,0.000002300492121
-4,6.40E-01,5.31E-12,0.000002304839474
-4,6.50E-01,5.33E-12,0.000002309179941
-4,6.60E-01,5.35E-12,0.000002313513562
-4,6.70E-01,5.37E-12,0.000002317842963
-4,6.80E-01,5.39E-12,0.000002322167091
-4,6.90E-01,5.41E-12,0.000002326487696
-4,7.00E-01,5.43E-12,0.000002330805869
-4,7.10E-01,5.45E-12,0.000002335125478
-4,7.20E-01,5.47E-12,0.000002339445875
-4,7.30E-01,5.49E-12,0.0000023437726
-4,7.40E-01,5.51E-12,0.000002348108813
-4,7.50E-01,5.53E-12,0.000002352462752
-4,7.60E-01,5.55E-12,0.00000235684047
-4,7.70E-01,5.58E-12,0.000002361252634
-4,7.80E-01,5.60E-12,0.00000236571131
-4,7.90E-01,5.62E-12,0.000002370237119
-4,8.00E-01,5.64E-12,0.000002374851995
-4,8.10E-01,5.66E-12,0.000002379589881
-4,8.20E-01,5.69E-12,0.000002384489883
-4,8.30E-01,5.71E-12,0.000002389607918
-4,8.40E-01,5.74E-12,0.00000239501858
-4,8.50E-01,5.76E-12,0.000002400815695
-4,8.60E-01,5.79E-12,0.000002407129411
-4,8.70E-01,5.83E-12,0.0000024141251
-4,8.80E-01,5.87E-12,0.000002422027044
-4,8.90E-01,5.91E-12,0.000002431126899
-4,9.00E-01,5.96E-12,0.000002441807118
-4,9.10E-01,6.02E-12,0.000002454572672
-4,9.20E-01,6.10E-12,0.00000247008097
-4,9.30E-01,6.20E-12,0.000002489192238
-4,9.40E-01,6.32E-12,0.000002513017708
-4,9.50E-01,6.47E-12,0.000002542992528
-4,9.60E-01,6.66E-12,0.000002580950019
-4,9.70E-01,6.91E-12,0.000002629208436
-4,9.80E-01,7.24E-12,0.000002690669805
-4,9.90E-01,7.67E-12,0.000002768909894
-4,1.00E+00,8.23E-12,0.000002868256788
-4,1.01E+00,8.96E-12,0.000002993855708
-4,1.02E+00,9.93E-12,0.000003151700652
-4,1.03E+00,1.12E-11,0.000003348626584
-4,1.04E+00,1.29E-11,0.000003592301491
-4,1.05E+00,1.51E-11,0.000003891192619
-4,1.06E+00,1.81E-11,0.000004254593988
-4,1.07E+00,2.20E-11,0.000004692682602
-4,1.08E+00,2.72E-11,0.00000521666656
-4,1.09E+00,3.41E-11,0.000005838998202
